epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.029,1.48601,3.32731,1.22921,0.54338,0.49607,0.50327,0.32753,1.18211,1.41803,1.06866,0.00332085,0.00332085,0.00332085
2,394.332,1.23061,1.25443,1.06614,0.77443,0.71136,0.76475,0.50788,1.14199,0.96285,1.04371,0.00661026,0.00661026,0.00661026
3,576.441,1.21769,1.04175,1.05709,0.57307,0.33716,0.36224,0.21374,1.64858,2.51531,1.50887,0.00985568,0.00985568,0.00985568
4,758.273,1.23319,0.98407,1.07219,0.80543,0.79218,0.84641,0.55245,1.17277,0.81048,1.09011,0.009802,0.009802,0.009802
5,940.789,1.1982,0.88789,1.05314,0.87065,0.83252,0.88243,0.57318,1.13117,0.71965,1.04616,0.009736,0.009736,0.009736
6,1124.14,1.1778,0.81686,1.04039,0.8706,0.82165,0.87742,0.5899,1.09656,0.68633,1.0459,0.00967,0.00967,0.00967
7,1305.36,1.1512,0.78532,1.02857,0.847,0.68911,0.75511,0.49667,1.17,0.89982,1.07627,0.009604,0.009604,0.009604
8,1488.31,1.13905,0.76834,1.02437,0.88679,0.90023,0.9291,0.64263,1.02434,0.58485,1.01075,0.009538,0.009538,0.009538
9,1671.19,1.11842,0.74344,1.01668,0.89178,0.90101,0.9352,0.63422,1.04022,0.59039,1.00418,0.009472,0.009472,0.009472
10,1853.93,1.1068,0.72927,1.01477,0.90356,0.86194,0.92087,0.63729,1.03571,0.59584,1.01046,0.009406,0.009406,0.009406
11,2038.56,1.09097,0.71102,1.00603,0.90236,0.88985,0.93173,0.64522,1.01781,0.57156,1.00465,0.00934,0.00934,0.00934
12,2221.47,1.08384,0.6911,1.00289,0.89069,0.85556,0.90911,0.62763,1.03912,0.62936,1.01084,0.009274,0.009274,0.009274
13,2404.36,1.06434,0.67765,0.99568,0.90923,0.91285,0.94665,0.66699,1.00346,0.5459,0.99378,0.009208,0.009208,0.009208
14,2588.48,1.05636,0.66568,0.98978,0.92264,0.92349,0.96125,0.66571,0.95679,0.51136,0.97633,0.009142,0.009142,0.009142
15,2770.74,1.04896,0.65642,0.99376,0.92239,0.92928,0.95836,0.66921,0.97933,0.50972,0.99093,0.009076,0.009076,0.009076
16,2952.51,1.04053,0.64702,0.98716,0.92659,0.92237,0.96125,0.68425,0.96526,0.50725,0.97616,0.00901,0.00901,0.00901
17,3136.75,1.04202,0.65347,0.98466,0.90617,0.89456,0.93926,0.6512,1.00673,0.59496,1.00003,0.008944,0.008944,0.008944
18,3321.5,1.02051,0.63852,0.98115,0.91805,0.9372,0.95891,0.70875,0.88554,0.46741,0.95268,0.008878,0.008878,0.008878
